Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
648,535352090,B,RL,80,8480,Pave,NA,1,Lvl,1,Corner,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1945,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,2,CBlock,3,3,4,3,700,6,0,93,793,GasA,3,Y,1,793,0,0,793,1,0,1,0,2,1,4,4,1,0,6,Detchd,1945,3,1,240,3,3,1,0,0,0,0,0,0,5,5,NA,0,8,2009,WD ,Normal,113000
649,535353040,A,RL,60,7626,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,8,1952,2005,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,2,3,CBlock,3,3,4,1,931,6,0,100,1031,GasA,2,Y,1,1031,0,0,1031,1,0,1,0,2,1,2,5,1,0,6,Attchd,1952,3,1,230,3,3,1,0,0,0,0,0,0,5,2,NA,0,3,2009,WD ,Normal,145500
650,535353060,A,RL,75,9533,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,5,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,140,3,3,Slab,6,6,5,7,0,7,0,0,0,GasA,3,Y,2,1210,0,0,1210,0,0,1,1,2,1,3,7,1,0,6,Attchd,1953,1,1,616,3,3,1,208,0,100,0,0,0,5,2,NA,0,8,2009,ConLD,Normal,102900
653,535354070,A,RL,60,9600,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1950,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,3,4,3,390,6,0,810,1200,GasA,3,Y,1,1200,0,0,1200,0,0,1,0,3,1,3,6,1,0,6,Attchd,1950,1,1,246,3,3,1,126,0,0,0,0,0,5,3,NA,0,8,2009,WD ,Normal,129900
654,535354100,A,RL,50,8000,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1948,2002,Gable,CompShg,VinylSd,VinylSd,None,0,3,2,CBlock,3,3,4,2,680,6,0,292,972,GasA,1,Y,1,972,0,0,972,1,0,1,0,2,1,3,5,1,1,2,Detchd,1948,3,1,240,3,3,1,0,0,0,0,0,0,5,5,NA,0,5,2009,WD ,Normal,132000
655,535375010,A,RL,53,5470,Pave,NA,1,Lvl,1,Inside,1,OldTown,Norm,Norm,1Fam,1Story,3,5,1958,1958,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,4,6,0,6,0,792,792,GasA,2,Y,2,792,0,0,792,0,0,1,0,2,1,3,4,1,0,6,Attchd,1958,3,1,366,4,3,1,0,90,0,0,0,0,5,5,NA,0,8,2009,WD ,Normal,99900
657,535376060,F,RL,60,10800,Pave,NA,1,Lvl,1,Inside,1,OldTown,Norm,Norm,1Fam,2Story,5,7,1939,2006,Gable,CompShg,VinylSd,VinylSd,None,0,3,2,BrkTil,3,3,4,6,0,6,0,676,676,GasA,1,Y,1,676,676,0,1352,0,1,2,0,4,1,2,7,1,0,6,Detchd,1939,3,2,720,3,3,1,187,0,128,0,0,0,5,5,NA,0,8,2009,WD ,Normal,149000
658,535377150,G,RL,80,8146,Pave,NA,1,Lvl,1,Corner,1,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0,2,2,BrkTil,4,3,4,6,0,6,0,405,405,GasA,2,Y,1,717,322,0,1039,0,0,1,0,2,1,3,6,1,0,6,Detchd,1940,3,1,281,3,3,3,0,0,168,0,111,0,5,5,NA,0,5,2009,WD ,Normal,114000
659,535378020,B,RL,52,9022,Pave,NA,1,Lvl,1,Inside,1,OldTown,Norm,Norm,1Fam,1Story,5,8,1924,2006,Gable,CompShg,VinylSd,VinylSd,None,0,2,3,BrkTil,3,3,4,6,0,6,0,768,768,GasA,1,Y,1,792,0,0,792,0,0,1,0,2,1,2,5,1,0,6,Detchd,1924,3,1,240,4,4,3,316,0,120,0,0,0,5,5,NA,0,5,2009,WD ,Normal,109500
660,535378120,B,RL,60,10230,Pave,Grvl,1,Lvl,1,Inside,1,OldTown,Norm,Norm,1Fam,1Story,5,7,1925,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,3,3,4,6,0,6,0,1054,1054,GasA,1,Y,1,1078,0,0,1078,0,0,1,0,3,1,1,6,1,0,6,Detchd,1987,3,1,264,3,3,3,0,0,0,0,112,0,5,3,NA,0,12,2009,WD ,Normal,125000
664,535383070,E,RL,90,5400,Pave,NA,1,Lvl,1,Corner,1,OldTown,Artery,Norm,1Fam,1.5Fin,4,6,1920,1950,Gable,CompShg,CBlock,CBlock,None,0,4,3,PConc,3,3,4,2,315,4,105,420,840,GasA,1,Y,1,840,534,0,1374,0,0,1,0,2,1,3,6,1,0,6,Detchd,1967,1,1,338,3,3,1,0,0,198,0,0,0,5,5,NA,0,10,2009,WD ,Normal,105000
665,535383110,B,RL,60,10800,Pave,Grvl,1,Lvl,1,Inside,1,OldTown,Norm,Norm,1Fam,1Story,5,7,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,BrkTil,3,3,4,6,0,6,0,720,720,GasA,3,N,1,846,0,0,846,0,0,1,0,2,1,2,4,1,0,6,Detchd,1980,1,2,576,3,3,3,0,0,0,0,0,0,5,5,NA,0,6,2009,WD ,Normal,106000
666,535383120,B,RL,60,10800,Pave,Grvl,1,Lvl,1,Corner,1,OldTown,Norm,Norm,1Fam,1Story,3,5,1890,1998,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,BrkTil,3,3,4,6,0,6,0,630,630,GasA,3,Y,2,725,0,0,725,0,0,1,1,1,1,3,4,1,0,6,Detchd,1959,3,1,320,3,3,1,0,30,0,0,0,0,5,5,NA,0,11,2009,WD ,Normal,78500
668,535402090,A,RL,83,10143,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,7,1963,1963,Gable,CompShg,HdBoard,HdBoard,BrkFace,295,3,3,CBlock,3,3,4,4,384,6,0,996,1380,GasA,4,Y,1,1380,0,0,1380,0,0,1,1,3,1,3,6,1,0,6,Attchd,1963,3,1,364,3,3,1,0,0,0,0,216,0,5,3,NA,0,6,2009,WD ,Normal,154000
669,535402270,A,RL,77,11500,Pave,NA,2,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,4,1967,1967,Gable,CompShg,HdBoard,HdBoard,None,0,4,3,CBlock,3,4,4,3,872,4,60,108,1040,GasA,2,Y,1,1040,0,0,1040,1,0,1,0,3,1,3,6,2,1,5,Attchd,1967,2,2,480,3,3,1,0,0,156,0,0,0,5,2,NA,0,5,2009,WD ,Normal,163000
671,535403190,A,RL,62,8010,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,9,1958,2007,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,2,2,CBlock,3,3,3,1,745,6,0,206,951,GasA,2,Y,1,951,0,0,951,1,0,1,0,2,1,2,6,1,0,6,Detchd,1985,3,2,480,3,3,1,0,0,42,0,0,0,5,5,Shed,450,9,2009,WD ,Normal,143500
672,535403210,A,RL,90,10454,Pave,NA,2,Lvl,1,Corner,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1957,1957,Hip,CompShg,Plywood,Plywood,Stone,143,3,3,CBlock,3,3,4,4,546,6,0,559,1105,GasA,2,Y,2,1105,0,0,1105,0,0,1,0,3,1,3,5,1,0,6,Detchd,1957,3,1,308,3,3,1,0,0,0,0,0,0,5,5,NA,0,4,2009,WD ,Normal,135000
673,535403280,A,RL,64,8712,Pave,NA,2,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,7,1957,2000,Hip,CompShg,MetalSd,MetalSd,None,0,3,2,CBlock,3,3,3,3,860,6,0,132,992,GasA,3,Y,1,1306,0,0,1306,1,0,1,0,2,1,3,5,1,0,6,Detchd,1968,3,1,756,3,3,1,0,0,0,0,0,0,5,5,NA,0,5,2009,WD ,Normal,153000
675,535426150,A,RL,80,9000,Pave,NA,2,HLS,1,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82,3,3,CBlock,2,3,1,6,0,6,0,160,160,GasA,4,Y,1,1142,0,0,1142,0,0,1,0,2,1,3,5,1,1,2,Basment,1958,2,1,384,3,3,1,0,28,64,0,0,0,5,5,NA,0,4,2009,WD ,Normal,113500
676,535450070,C,RL,60,12144,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,7,1949,1950,Gable,CompShg,HdBoard,HdBoard,None,0,2,3,CBlock,3,3,4,4,375,6,0,457,832,GasA,2,Y,1,1036,0,232,1268,0,0,1,0,3,1,3,6,1,1,2,Attchd,1949,3,1,288,3,3,1,0,28,0,0,0,0,5,5,Othr,0,9,2009,WD ,Normal,133000
677,535450160,K,RL,60,8544,Pave,NA,1,Lvl,1,Corner,1,NAmes,Norm,Norm,Duplex,1Story,3,4,1950,1950,Gable,CompShg,BrkFace,BrkFace,None,0,3,3,Slab,6,6,5,7,0,7,0,0,0,Wall,4,N,2,1040,0,0,1040,0,0,2,0,2,2,3,6,1,0,6,Detchd,1987,3,2,400,3,3,1,0,0,0,0,0,0,5,5,NA,0,6,2009,WD ,Normal,92900
679,535451170,K,RL,60,7200,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,Duplex,1Story,4,5,1949,1950,Gable,CompShg,BrkFace,Stone,None,0,3,3,Slab,6,6,5,7,0,7,0,0,0,Wall,4,N,3,1040,0,0,1040,0,0,2,0,2,2,3,6,1,0,6,Detchd,1956,3,2,420,3,3,1,0,0,0,0,0,0,5,5,NA,0,6,2009,WD ,Normal,90000
681,535452090,A,RL,71,7350,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1958,Hip,CompShg,BrkFace,BrkFace,None,0,3,3,CBlock,3,3,4,6,0,6,0,1041,1041,GasA,2,Y,1,1041,0,0,1041,0,0,1,0,3,1,3,6,1,0,6,Attchd,1958,2,1,294,3,3,1,0,0,0,0,0,0,5,3,NA,0,3,2009,WD ,Normal,128000
683,535452140,A,RL,60,7200,Pave,NA,1,Lvl,1,Corner,1,NAmes,Norm,Norm,1Fam,1Story,5,7,1952,1952,Gable,CompShg,MetalSd,MetalSd,None,0,3,2,CBlock,3,2,4,2,630,3,102,0,732,GasA,3,Y,1,732,0,0,732,1,0,1,0,2,1,3,4,1,0,6,Detchd,1952,3,1,240,3,3,1,0,68,0,0,0,0,5,5,NA,0,9,2009,WD ,Normal,118900
684,535453100,I,RL,80,8000,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,SLvl,5,5,1959,1959,Gable,CompShg,BrkFace,Plywood,None,0,3,3,CBlock,2,3,2,1,433,4,95,0,528,GasA,3,Y,1,1183,0,0,1183,1,0,1,0,3,1,3,6,1,0,6,Attchd,1959,2,1,288,3,3,1,0,0,0,0,0,0,5,3,NA,0,7,2009,WD ,Normal,138000
685,535453200,A,RL,70,7931,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,Plywood,None,0,3,3,CBlock,3,3,4,3,1148,6,0,0,1148,GasA,3,Y,1,1148,0,0,1148,1,0,1,0,3,1,3,6,1,0,6,Attchd,1959,3,1,672,3,3,1,0,0,0,0,0,0,5,1,NA,0,7,2009,WD ,Normal,132500
686,535454100,E,RL,60,10800,Pave,NA,1,Lvl,1,Inside,1,NAmes,Artery,Norm,1Fam,1.5Fin,4,7,1949,1996,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,4,6,0,6,0,832,832,GasA,3,Y,3,832,629,0,1461,0,0,2,0,4,1,3,6,1,0,6,Detchd,1949,3,1,384,3,3,1,0,204,0,0,0,0,5,5,NA,0,8,2009,WD ,Normal,133500
689,535476110,K,RL,75,8604,Pave,NA,2,Lvl,1,Inside,1,NAmes,Norm,Norm,Duplex,SFoyer,5,7,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,124,3,2,CBlock,2,3,2,1,941,6,0,0,941,GasA,2,Y,1,941,0,0,941,1,0,1,0,2,1,2,4,1,0,6,Attchd,1978,3,2,564,3,3,1,0,40,0,0,0,0,5,5,NA,0,11,2009,WD ,Normal,145000
690,535476240,A,RL,80,7936,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1963,1963,Hip,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,3,3,4,3,826,6,0,219,1045,GasA,3,Y,1,1045,0,0,1045,1,0,1,0,3,1,3,6,1,1,4,Attchd,1963,2,1,264,3,3,1,0,0,0,0,0,0,5,5,NA,0,4,2009,WD ,Normal,127000
691,535477150,A,RL,60,6600,Pave,NA,1,Lvl,1,Inside,1,NAmes,PosN,Norm,1Fam,1Story,5,5,1962,1962,Hip,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,4,6,0,6,0,894,894,GasA,2,N,1,894,0,0,894,0,0,1,0,2,1,3,5,1,0,6,Detchd,1962,3,1,308,3,3,1,0,0,0,0,0,0,5,5,NA,0,8,2009,WD ,Normal,109500
693,902102080,E,RM,60,10440,Pave,Grvl,1,Lvl,1,Corner,1,OldTown,Norm,Norm,1Fam,2Story,5,6,1910,1981,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,PConc,3,3,4,6,0,6,0,440,440,GasA,2,Y,1,682,548,0,1230,0,0,1,1,2,1,3,5,1,0,6,Detchd,1966,3,2,440,3,3,1,74,0,128,0,0,0,5,2,NA,0,5,2009,WD ,Normal,110000
694,902103100,E,RM,68,4080,Pave,Grvl,1,Lvl,1,Inside,1,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,1935,1998,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,PConc,3,3,4,6,0,6,0,901,901,GasA,2,Y,1,861,517,0,1378,0,0,1,0,3,1,2,6,1,0,6,Detchd,1920,3,1,162,4,4,2,54,0,40,0,0,0,5,5,NA,0,6,2009,WD ,Normal,128900
697,902105050,E,RM,90,15660,Pave,NA,1,Lvl,1,Inside,1,OldTown,Norm,Norm,1Fam,1.5Fin,5,8,1910,2003,Gable,CompShg,VinylSd,VinylSd,None,0,3,2,CBlock,3,3,4,6,0,6,0,240,240,GasA,3,Y,1,810,496,0,1306,0,0,1,1,3,1,2,6,1,0,6,Detchd,1959,3,2,472,4,3,3,0,0,0,0,0,0,5,2,NA,0,7,2009,WD ,Normal,130000
703,902110080,F,RM,60,3378,Pave,Grvl,1,HLS,1,Inside,1,OldTown,Norm,Norm,1Fam,2Story,7,8,1946,1992,Gable,CompShg,HdBoard,HdBoard,None,0,3,2,CBlock,3,3,4,6,0,6,0,651,651,GasA,2,Y,1,707,682,0,1389,0,0,1,1,3,1,3,6,1,2,2,Detchd,1947,3,1,240,3,3,2,0,0,126,0,0,0,5,5,NA,0,9,2009,WD ,Normal,135000
705,902135020,A,RM,60,6000,Pave,Pave,1,Bnk,1,Inside,2,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0,4,3,CBlock,4,3,4,6,0,6,0,936,936,GasA,3,N,1,936,0,0,936,0,0,1,0,2,1,3,4,3,0,6,Detchd,1974,3,2,576,3,3,1,0,32,112,0,0,0,5,5,NA,0,2,2009,WD ,Normal,93000
706,902201110,E,RM,50,6000,Pave,NA,1,Lvl,1,Inside,1,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1950,1970,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,1,CBlock,3,3,4,3,384,6,0,384,768,GasA,3,Y,2,768,560,0,1328,0,0,1,1,3,1,3,6,1,0,6,Detchd,1950,3,1,308,3,3,1,0,12,0,0,0,0,5,2,NA,0,3,2009,WD ,Normal,129500
707,902202150,P,RM,50,6000,Pave,NA,1,Lvl,1,Inside,1,OldTown,Norm,Norm,2fmCon,1.5Fin,5,4,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,3,4,6,0,6,0,811,811,GasA,3,Y,2,811,576,0,1387,0,0,2,0,3,2,2,7,1,0,6,BuiltIn,1954,3,1,256,3,3,1,0,0,0,0,0,0,5,5,NA,0,11,2009,WD ,Normal,93000
708,902204080,B,RM,62,7404,Pave,NA,1,Lvl,1,Corner,1,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,4,3,4,6,0,6,0,861,861,GasA,3,Y,1,861,0,0,861,0,0,1,0,2,1,3,5,1,0,6,Detchd,1920,3,2,288,3,3,3,0,0,128,0,0,0,5,5,NA,0,11,2009,Oth,Normal,80000
709,902205010,B,RM,50,5925,Pave,NA,1,Lvl,1,Corner,1,OldTown,Norm,Norm,1Fam,1Story,2,4,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,2,BrkTil,6,6,5,7,0,7,0,0,0,GasA,4,N,2,612,0,0,612,0,0,1,0,1,1,3,4,1,0,6,Detchd,1965,3,1,308,3,4,3,0,0,25,0,0,0,5,5,NA,0,10,2009,WD ,Normal,45000
711,902206260,B,RM,50,5784,Pave,NA,1,Lvl,1,Inside,1,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,4,3,4,6,0,6,0,190,190,GasA,2,Y,2,886,0,0,886,0,0,1,0,2,1,3,4,1,0,6,Attchd,1938,3,1,273,3,3,1,144,20,80,0,0,0,5,5,NA,0,12,2009,WD ,Normal,91300
712,902207170,B,RM,60,8520,Pave,NA,1,Lvl,1,Inside,1,OldTown,Norm,Norm,1Fam,1Story,5,8,1923,1950,Gable,CompShg,Stucco,Stucco,None,0,2,3,PConc,4,3,4,6,0,6,0,624,624,GasA,3,Y,1,792,0,0,792,0,0,1,0,2,1,3,5,1,0,6,Detchd,1963,3,1,287,3,3,1,0,0,81,0,0,0,5,3,NA,0,2,2009,WD ,Normal,99500
715,902301080,E,RM,50,3500,Pave,Grvl,1,Lvl,1,Inside,1,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1947,1950,Gable,CompShg,AsbShng,AsbShng,None,0,3,3,CBlock,3,3,4,5,312,6,0,408,720,GasA,3,Y,1,720,564,0,1284,0,0,1,1,2,1,3,5,1,0,6,Detchd,1948,3,1,240,3,3,1,0,35,0,0,0,0,5,4,NA,0,4,2009,WD ,Normal,110000
719,902329080,G,RM,60,3600,Pave,Grvl,1,Lvl,1,Inside,1,OldTown,Norm,Norm,1Fam,2Story,6,7,1917,2007,Gable,CompShg,Stucco,Stucco,None,0,3,3,BrkTil,3,3,4,6,0,6,0,624,624,GasA,1,Y,1,664,624,0,1288,1,0,1,0,3,1,1,5,1,1,2,Attchd,1917,3,1,280,3,3,3,0,103,0,0,0,0,5,5,NA,0,5,2009,WD ,Normal,119000
722,902401130,G,RM,50,9000,Pave,NA,1,Lvl,1,Inside,1,OldTown,Artery,Norm,1Fam,2Story,7,9,1920,1988,Hip,CompShg,VinylSd,VinylSd,None,0,3,2,PConc,3,3,4,2,624,6,0,26,650,GasA,1,Y,1,832,650,0,1482,0,1,1,0,3,1,3,7,1,0,6,Detchd,1930,3,2,324,3,3,1,0,0,0,0,0,0,5,5,NA,0,7,2009,WD ,Normal,143000
723,902402150,B,RM,60,7200,Pave,NA,1,Lvl,1,Inside,1,OldTown,Norm,Norm,1Fam,1Story,5,4,1910,2006,Hip,CompShg,MetalSd,Stucco,None,0,3,3,BrkTil,3,3,4,2,247,4,465,310,1022,GasW,3,N,1,1022,0,0,1022,1,0,1,0,2,1,3,4,6,0,6,Detchd,1956,3,1,280,3,3,1,0,30,226,0,0,0,5,5,NA,0,6,2009,WD ,Normal,85000
734,903226130,E,RM,50,6000,Pave,NA,1,Lvl,1,Inside,1,BrkSide,Norm,Norm,1Fam,1.5Fin,4,6,1936,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,3,3,4,3,672,6,0,0,672,GasA,3,Y,1,757,567,0,1324,0,0,1,0,3,1,3,6,1,0,6,Detchd,1936,3,1,240,3,3,1,0,0,0,0,0,0,5,5,NA,0,7,2009,WD ,Normal,128000
735,903226170,E,RM,50,6000,Pave,NA,1,Lvl,1,Inside,1,BrkSide,Norm,Norm,1Fam,1.5Fin,6,9,1937,2000,Gable,CompShg,MetalSd,MetalSd,None,0,2,3,BrkTil,3,3,4,6,0,6,0,698,698,GasA,3,Y,1,786,390,0,1176,0,0,1,0,2,1,3,4,1,0,6,Detchd,1999,3,2,624,3,3,3,210,0,0,0,0,0,5,5,NA,0,7,2009,WD ,Normal,134900
736,903227070,E,RM,50,6000,Pave,NA,1,Lvl,1,Corner,1,BrkSide,Norm,Norm,1Fam,1.5Fin,5,8,1925,1997,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,BrkTil,3,3,4,6,0,6,0,884,884,GasA,1,Y,1,884,464,0,1348,1,0,1,0,3,1,3,5,1,1,4,Detchd,1960,3,1,216,3,3,3,0,0,208,0,0,0,5,5,NA,0,5,2009,WD ,Normal,117000
737,903227090,E,RM,50,6000,Pave,NA,1,Lvl,1,Inside,1,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,4,CBlock,3,3,4,6,0,6,0,780,780,GasA,1,Y,3,825,587,0,1412,0,0,1,0,4,1,3,6,1,1,2,Detchd,1939,3,1,280,3,3,1,45,0,0,0,0,0,5,5,NA,0,5,2009,WD ,Normal,132500
738,903228070,E,RM,60,6000,Pave,NA,1,Lvl,1,Corner,1,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1924,1950,Gable,CompShg,Stucco,Stucco,BrkFace,444,3,3,BrkTil,3,3,4,4,220,6,0,248,468,GasA,2,Y,1,822,320,0,1142,0,0,1,0,3,1,3,6,1,0,6,Attchd,1924,1,1,320,3,3,1,0,0,98,0,0,0,5,5,NA,0,6,2009,WD ,Normal,93000
739,903228120,D,RM,50,6000,Pave,NA,1,Lvl,1,Inside,1,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,2,3,PConc,3,3,4,6,0,6,0,884,884,GasA,2,Y,1,904,0,0,904,0,0,1,0,2,1,3,4,1,0,6,Detchd,1926,3,1,180,3,3,1,0,0,105,0,0,0,5,5,NA,0,1,2009,WD ,Normal,119000
740,903230100,B,RM,60,6911,Pave,NA,1,Lvl,1,FR2,1,BrkSide,Feedr,Norm,1Fam,1Story,5,5,1924,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,PConc,3,3,3,5,405,6,0,740,1145,GasA,3,Y,1,1301,0,0,1301,0,0,1,0,2,1,4,5,2,0,6,Detchd,1965,3,2,440,3,3,1,0,0,0,0,0,0,5,5,NA,0,10,2009,WD ,Normal,100000
744,903231130,B,RM,51,6120,Pave,NA,1,Lvl,1,Corner,1,BrkSide,Norm,Norm,1Fam,1Story,5,7,1931,1993,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,BrkTil,3,3,4,3,209,6,0,506,715,GasA,3,Y,2,875,0,0,875,1,0,1,0,2,1,3,5,1,0,6,Detchd,1931,3,1,180,4,3,1,48,0,0,0,0,0,5,5,NA,0,11,2009,WD ,Normal,105000
747,903236040,B,RM,50,8635,Pave,NA,1,Lvl,1,Inside,1,BrkSide,Norm,Norm,1Fam,1Story,5,5,1925,1950,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,3,4,BrkTil,3,3,4,5,134,6,0,938,1072,GasA,3,Y,1,1072,0,0,1072,1,0,1,0,2,1,3,5,1,0,6,Detchd,1982,3,5,1184,4,3,2,0,0,105,0,0,0,5,5,NA,0,8,2009,WD ,Normal,126500
756,903458170,B,RM,52,6240,Pave,Grvl,1,Lvl,1,Inside,1,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,1925,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,4,3,152,6,0,628,780,GasA,3,Y,2,848,0,360,1208,0,0,1,0,2,1,3,5,1,0,6,Detchd,1962,3,2,539,3,3,1,0,23,112,0,0,0,5,5,NA,0,1,2009,WD ,Normal,103000
761,903484110,P,RM,60,10320,Pave,Grvl,1,Bnk,1,Inside,1,IDOTRR,Artery,Norm,2fmCon,2Story,6,7,1915,1965,Gable,CompShg,MetalSd,MetalSd,None,0,3,2,CBlock,3,3,4,4,276,2,262,160,698,GasA,1,Y,3,754,649,0,1403,1,0,1,1,3,1,3,7,1,0,6,Detchd,1915,3,1,308,3,3,1,0,0,288,0,0,0,5,5,NA,0,2,2009,WD ,Normal,116000
762,904100190,A,RL,50,4280,Pave,NA,2,Lvl,1,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,4,9,1946,2001,Gable,CompShg,MetalSd,MetalSd,None,0,3,2,CBlock,4,3,4,6,0,6,0,560,560,GasA,1,Y,2,704,0,0,704,0,1,1,0,2,1,4,4,1,0,6,CarPort,1946,3,1,220,3,3,1,0,0,24,0,0,0,5,5,NA,0,9,2009,WD ,Normal,88750
767,904351200,G,RH,54,6629,Pave,NA,1,Lvl,1,Inside,1,Edwards,Artery,Norm,1Fam,2Story,6,6,1925,1950,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0,3,2,BrkTil,3,3,4,3,551,6,0,121,672,GasA,3,N,1,697,672,0,1369,1,0,2,0,3,1,3,6,1,0,6,Detchd,1930,3,1,300,3,3,1,147,0,0,0,0,0,5,5,NA,0,7,2009,WD ,Normal,103600
768,904351240,E,RL,60,9780,Pave,NA,1,Lvl,1,Inside,1,Edwards,Norm,Norm,1Fam,1.5Fin,5,3,1934,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,PConc,3,3,4,6,0,6,0,585,585,GasA,3,N,2,687,425,0,1112,1,0,2,0,4,1,3,6,1,0,6,Detchd,1934,3,1,226,5,5,3,0,0,0,0,0,0,5,5,NA,0,3,2009,WD ,Normal,63000
