Order,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
653,A,RL,60,9600,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1950,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,3,4,3,390,6,0,810,1200,GasA,3,Y,1,1200,0,0,1200,0,0,1,0,3,1,3,6,1,0,6,Attchd,1950,1,1,246,3,3,1,126,0,0,0,0,0,5,3,NA,0,8,2009,WD ,129900
654,A,RL,50,8000,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1948,2002,Gable,CompShg,VinylSd,VinylSd,None,0,3,2,CBlock,3,3,4,2,680,6,0,292,972,GasA,1,Y,1,972,0,0,972,1,0,1,0,2,1,3,5,1,1,2,Detchd,1948,3,1,240,3,3,1,0,0,0,0,0,0,5,5,NA,0,5,2009,WD ,132000
655,A,RL,53,5470,Pave,NA,1,Lvl,Inside,1,OldTown,Norm,Norm,1Fam,1Story,3,5,1958,1958,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,4,6,0,6,0,792,792,GasA,2,Y,2,792,0,0,792,0,0,1,0,2,1,3,4,1,0,6,Attchd,1958,3,1,366,4,3,1,0,90,0,0,0,0,5,5,NA,0,8,2009,WD ,99900
658,G,RL,80,8146,Pave,NA,1,Lvl,Corner,1,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0,2,2,BrkTil,4,3,4,6,0,6,0,405,405,GasA,2,Y,1,717,322,0,1039,0,0,1,0,2,1,3,6,1,0,6,Detchd,1940,3,1,281,3,3,3,0,0,168,0,111,0,5,5,NA,0,5,2009,WD ,114000
659,B,RL,52,9022,Pave,NA,1,Lvl,Inside,1,OldTown,Norm,Norm,1Fam,1Story,5,8,1924,2006,Gable,CompShg,VinylSd,VinylSd,None,0,2,3,BrkTil,3,3,4,6,0,6,0,768,768,GasA,1,Y,1,792,0,0,792,0,0,1,0,2,1,2,5,1,0,6,Detchd,1924,3,1,240,4,4,3,316,0,120,0,0,0,5,5,NA,0,5,2009,WD ,109500
664,E,RL,90,5400,Pave,NA,1,Lvl,Corner,1,OldTown,Artery,Norm,1Fam,1.5Fin,4,6,1920,1950,Gable,CompShg,CBlock,CBlock,None,0,4,3,PConc,3,3,4,2,315,4,105,420,840,GasA,1,Y,1,840,534,0,1374,0,0,1,0,2,1,3,6,1,0,6,Detchd,1967,1,1,338,3,3,1,0,0,198,0,0,0,5,5,NA,0,10,2009,WD ,105000
671,A,RL,62,8010,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,9,1958,2007,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,2,2,CBlock,3,3,3,1,745,6,0,206,951,GasA,2,Y,1,951,0,0,951,1,0,1,0,2,1,2,6,1,0,6,Detchd,1985,3,2,480,3,3,1,0,0,42,0,0,0,5,5,Shed,450,9,2009,WD ,143500
673,A,RL,64,8712,Pave,NA,2,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,7,1957,2000,Hip,CompShg,MetalSd,MetalSd,None,0,3,2,CBlock,3,3,3,3,860,6,0,132,992,GasA,3,Y,1,1306,0,0,1306,1,0,1,0,2,1,3,5,1,0,6,Detchd,1968,3,1,756,3,3,1,0,0,0,0,0,0,5,5,NA,0,5,2009,WD ,153000
675,A,RL,80,9000,Pave,NA,2,HLS,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82,3,3,CBlock,2,3,1,6,0,6,0,160,160,GasA,4,Y,1,1142,0,0,1142,0,0,1,0,2,1,3,5,1,1,2,Basment,1958,2,1,384,3,3,1,0,28,64,0,0,0,5,5,NA,0,4,2009,WD ,113500
677,K,RL,60,8544,Pave,NA,1,Lvl,Corner,1,NAmes,Norm,Norm,Duplex,1Story,3,4,1950,1950,Gable,CompShg,BrkFace,BrkFace,None,0,3,3,Slab,6,6,5,7,0,7,0,0,0,Wall,4,N,2,1040,0,0,1040,0,0,2,0,2,2,3,6,1,0,6,Detchd,1987,3,2,400,3,3,1,0,0,0,0,0,0,5,5,NA,0,6,2009,WD ,92900
679,K,RL,60,7200,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,Duplex,1Story,4,5,1949,1950,Gable,CompShg,BrkFace,Stone,None,0,3,3,Slab,6,6,5,7,0,7,0,0,0,Wall,4,N,3,1040,0,0,1040,0,0,2,0,2,2,3,6,1,0,6,Detchd,1956,3,2,420,3,3,1,0,0,0,0,0,0,5,5,NA,0,6,2009,WD ,90000
681,A,RL,71,7350,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1958,Hip,CompShg,BrkFace,BrkFace,None,0,3,3,CBlock,3,3,4,6,0,6,0,1041,1041,GasA,2,Y,1,1041,0,0,1041,0,0,1,0,3,1,3,6,1,0,6,Attchd,1958,2,1,294,3,3,1,0,0,0,0,0,0,5,3,NA,0,3,2009,WD ,128000
683,A,RL,60,7200,Pave,NA,1,Lvl,Corner,1,NAmes,Norm,Norm,1Fam,1Story,5,7,1952,1952,Gable,CompShg,MetalSd,MetalSd,None,0,3,2,CBlock,3,2,4,2,630,3,102,0,732,GasA,3,Y,1,732,0,0,732,1,0,1,0,2,1,3,4,1,0,6,Detchd,1952,3,1,240,3,3,1,0,68,0,0,0,0,5,5,NA,0,9,2009,WD ,118900
684,I,RL,80,8000,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,SLvl,5,5,1959,1959,Gable,CompShg,BrkFace,Plywood,None,0,3,3,CBlock,2,3,2,1,433,4,95,0,528,GasA,3,Y,1,1183,0,0,1183,1,0,1,0,3,1,3,6,1,0,6,Attchd,1959,2,1,288,3,3,1,0,0,0,0,0,0,5,3,NA,0,7,2009,WD ,138000
685,A,RL,70,7931,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,Plywood,None,0,3,3,CBlock,3,3,4,3,1148,6,0,0,1148,GasA,3,Y,1,1148,0,0,1148,1,0,1,0,3,1,3,6,1,0,6,Attchd,1959,3,1,672,3,3,1,0,0,0,0,0,0,5,1,NA,0,7,2009,WD ,132500
689,K,RL,75,8604,Pave,NA,2,Lvl,Inside,1,NAmes,Norm,Norm,Duplex,SFoyer,5,7,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,124,3,2,CBlock,2,3,2,1,941,6,0,0,941,GasA,2,Y,1,941,0,0,941,1,0,1,0,2,1,2,4,1,0,6,Attchd,1978,3,2,564,3,3,1,0,40,0,0,0,0,5,5,NA,0,11,2009,WD ,145000
690,A,RL,80,7936,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1963,1963,Hip,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,3,3,4,3,826,6,0,219,1045,GasA,3,Y,1,1045,0,0,1045,1,0,1,0,3,1,3,6,1,1,4,Attchd,1963,2,1,264,3,3,1,0,0,0,0,0,0,5,5,NA,0,4,2009,WD ,127000
691,A,RL,60,6600,Pave,NA,1,Lvl,Inside,1,NAmes,PosN,Norm,1Fam,1Story,5,5,1962,1962,Hip,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,4,6,0,6,0,894,894,GasA,2,N,1,894,0,0,894,0,0,1,0,2,1,3,5,1,0,6,Detchd,1962,3,1,308,3,3,1,0,0,0,0,0,0,5,5,NA,0,8,2009,WD ,109500
694,E,RM,68,4080,Pave,Grvl,1,Lvl,Inside,1,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,1935,1998,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,PConc,3,3,4,6,0,6,0,901,901,GasA,2,Y,1,861,517,0,1378,0,0,1,0,3,1,2,6,1,0,6,Detchd,1920,3,1,162,4,4,2,54,0,40,0,0,0,5,5,NA,0,6,2009,WD ,128900
703,F,RM,60,3378,Pave,Grvl,1,HLS,Inside,1,OldTown,Norm,Norm,1Fam,2Story,7,8,1946,1992,Gable,CompShg,HdBoard,HdBoard,None,0,3,2,CBlock,3,3,4,6,0,6,0,651,651,GasA,2,Y,1,707,682,0,1389,0,0,1,1,3,1,3,6,1,2,2,Detchd,1947,3,1,240,3,3,2,0,0,126,0,0,0,5,5,NA,0,9,2009,WD ,135000
705,A,RM,60,6000,Pave,Pave,1,Bnk,Inside,2,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0,4,3,CBlock,4,3,4,6,0,6,0,936,936,GasA,3,N,1,936,0,0,936,0,0,1,0,2,1,3,4,3,0,6,Detchd,1974,3,2,576,3,3,1,0,32,112,0,0,0,5,5,NA,0,2,2009,WD ,93000
706,E,RM,50,6000,Pave,NA,1,Lvl,Inside,1,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1950,1970,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,1,CBlock,3,3,4,3,384,6,0,384,768,GasA,3,Y,2,768,560,0,1328,0,0,1,1,3,1,3,6,1,0,6,Detchd,1950,3,1,308,3,3,1,0,12,0,0,0,0,5,2,NA,0,3,2009,WD ,129500
707,P,RM,50,6000,Pave,NA,1,Lvl,Inside,1,OldTown,Norm,Norm,2fmCon,1.5Fin,5,4,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,3,4,6,0,6,0,811,811,GasA,3,Y,2,811,576,0,1387,0,0,2,0,3,2,2,7,1,0,6,BuiltIn,1954,3,1,256,3,3,1,0,0,0,0,0,0,5,5,NA,0,11,2009,WD ,93000
708,B,RM,62,7404,Pave,NA,1,Lvl,Corner,1,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,4,3,4,6,0,6,0,861,861,GasA,3,Y,1,861,0,0,861,0,0,1,0,2,1,3,5,1,0,6,Detchd,1920,3,2,288,3,3,3,0,0,128,0,0,0,5,5,NA,0,11,2009,Oth,80000
709,B,RM,50,5925,Pave,NA,1,Lvl,Corner,1,OldTown,Norm,Norm,1Fam,1Story,2,4,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,2,BrkTil,6,6,5,7,0,7,0,0,0,GasA,4,N,2,612,0,0,612,0,0,1,0,1,1,3,4,1,0,6,Detchd,1965,3,1,308,3,4,3,0,0,25,0,0,0,5,5,NA,0,10,2009,WD ,45000
711,B,RM,50,5784,Pave,NA,1,Lvl,Inside,1,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,4,3,4,6,0,6,0,190,190,GasA,2,Y,2,886,0,0,886,0,0,1,0,2,1,3,4,1,0,6,Attchd,1938,3,1,273,3,3,1,144,20,80,0,0,0,5,5,NA,0,12,2009,WD ,91300
712,B,RM,60,8520,Pave,NA,1,Lvl,Inside,1,OldTown,Norm,Norm,1Fam,1Story,5,8,1923,1950,Gable,CompShg,Stucco,Stucco,None,0,2,3,PConc,4,3,4,6,0,6,0,624,624,GasA,3,Y,1,792,0,0,792,0,0,1,0,2,1,3,5,1,0,6,Detchd,1963,3,1,287,3,3,1,0,0,81,0,0,0,5,3,NA,0,2,2009,WD ,99500
715,E,RM,50,3500,Pave,Grvl,1,Lvl,Inside,1,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1947,1950,Gable,CompShg,AsbShng,AsbShng,None,0,3,3,CBlock,3,3,4,5,312,6,0,408,720,GasA,3,Y,1,720,564,0,1284,0,0,1,1,2,1,3,5,1,0,6,Detchd,1948,3,1,240,3,3,1,0,35,0,0,0,0,5,4,NA,0,4,2009,WD ,110000
719,G,RM,60,3600,Pave,Grvl,1,Lvl,Inside,1,OldTown,Norm,Norm,1Fam,2Story,6,7,1917,2007,Gable,CompShg,Stucco,Stucco,None,0,3,3,BrkTil,3,3,4,6,0,6,0,624,624,GasA,1,Y,1,664,624,0,1288,1,0,1,0,3,1,1,5,1,1,2,Attchd,1917,3,1,280,3,3,3,0,103,0,0,0,0,5,5,NA,0,5,2009,WD ,119000
722,G,RM,50,9000,Pave,NA,1,Lvl,Inside,1,OldTown,Artery,Norm,1Fam,2Story,7,9,1920,1988,Hip,CompShg,VinylSd,VinylSd,None,0,3,2,PConc,3,3,4,2,624,6,0,26,650,GasA,1,Y,1,832,650,0,1482,0,1,1,0,3,1,3,7,1,0,6,Detchd,1930,3,2,324,3,3,1,0,0,0,0,0,0,5,5,NA,0,7,2009,WD ,143000
723,B,RM,60,7200,Pave,NA,1,Lvl,Inside,1,OldTown,Norm,Norm,1Fam,1Story,5,4,1910,2006,Hip,CompShg,MetalSd,Stucco,None,0,3,3,BrkTil,3,3,4,2,247,4,465,310,1022,GasW,3,N,1,1022,0,0,1022,1,0,1,0,2,1,3,4,6,0,6,Detchd,1956,3,1,280,3,3,1,0,30,226,0,0,0,5,5,NA,0,6,2009,WD ,85000
734,E,RM,50,6000,Pave,NA,1,Lvl,Inside,1,BrkSide,Norm,Norm,1Fam,1.5Fin,4,6,1936,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,3,3,4,3,672,6,0,0,672,GasA,3,Y,1,757,567,0,1324,0,0,1,0,3,1,3,6,1,0,6,Detchd,1936,3,1,240,3,3,1,0,0,0,0,0,0,5,5,NA,0,7,2009,WD ,128000
735,E,RM,50,6000,Pave,NA,1,Lvl,Inside,1,BrkSide,Norm,Norm,1Fam,1.5Fin,6,9,1937,2000,Gable,CompShg,MetalSd,MetalSd,None,0,2,3,BrkTil,3,3,4,6,0,6,0,698,698,GasA,3,Y,1,786,390,0,1176,0,0,1,0,2,1,3,4,1,0,6,Detchd,1999,3,2,624,3,3,3,210,0,0,0,0,0,5,5,NA,0,7,2009,WD ,134900
736,E,RM,50,6000,Pave,NA,1,Lvl,Corner,1,BrkSide,Norm,Norm,1Fam,1.5Fin,5,8,1925,1997,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,BrkTil,3,3,4,6,0,6,0,884,884,GasA,1,Y,1,884,464,0,1348,1,0,1,0,3,1,3,5,1,1,4,Detchd,1960,3,1,216,3,3,3,0,0,208,0,0,0,5,5,NA,0,5,2009,WD ,117000
737,E,RM,50,6000,Pave,NA,1,Lvl,Inside,1,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,4,CBlock,3,3,4,6,0,6,0,780,780,GasA,1,Y,3,825,587,0,1412,0,0,1,0,4,1,3,6,1,1,2,Detchd,1939,3,1,280,3,3,1,45,0,0,0,0,0,5,5,NA,0,5,2009,WD ,132500
738,E,RM,60,6000,Pave,NA,1,Lvl,Corner,1,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1924,1950,Gable,CompShg,Stucco,Stucco,BrkFace,444,3,3,BrkTil,3,3,4,4,220,6,0,248,468,GasA,2,Y,1,822,320,0,1142,0,0,1,0,3,1,3,6,1,0,6,Attchd,1924,1,1,320,3,3,1,0,0,98,0,0,0,5,5,NA,0,6,2009,WD ,93000
739,D,RM,50,6000,Pave,NA,1,Lvl,Inside,1,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,2,3,PConc,3,3,4,6,0,6,0,884,884,GasA,2,Y,1,904,0,0,904,0,0,1,0,2,1,3,4,1,0,6,Detchd,1926,3,1,180,3,3,1,0,0,105,0,0,0,5,5,NA,0,1,2009,WD ,119000
740,B,RM,60,6911,Pave,NA,1,Lvl,FR2,1,BrkSide,Feedr,Norm,1Fam,1Story,5,5,1924,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,PConc,3,3,3,5,405,6,0,740,1145,GasA,3,Y,1,1301,0,0,1301,0,0,1,0,2,1,4,5,2,0,6,Detchd,1965,3,2,440,3,3,1,0,0,0,0,0,0,5,5,NA,0,10,2009,WD ,100000
744,B,RM,51,6120,Pave,NA,1,Lvl,Corner,1,BrkSide,Norm,Norm,1Fam,1Story,5,7,1931,1993,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,BrkTil,3,3,4,3,209,6,0,506,715,GasA,3,Y,2,875,0,0,875,1,0,1,0,2,1,3,5,1,0,6,Detchd,1931,3,1,180,4,3,1,48,0,0,0,0,0,5,5,NA,0,11,2009,WD ,105000
747,B,RM,50,8635,Pave,NA,1,Lvl,Inside,1,BrkSide,Norm,Norm,1Fam,1Story,5,5,1925,1950,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,3,4,BrkTil,3,3,4,5,134,6,0,938,1072,GasA,3,Y,1,1072,0,0,1072,1,0,1,0,2,1,3,5,1,0,6,Detchd,1982,3,5,1184,4,3,2,0,0,105,0,0,0,5,5,NA,0,8,2009,WD ,126500
756,B,RM,52,6240,Pave,Grvl,1,Lvl,Inside,1,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,1925,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,4,3,152,6,0,628,780,GasA,3,Y,2,848,0,360,1208,0,0,1,0,2,1,3,5,1,0,6,Detchd,1962,3,2,539,3,3,1,0,23,112,0,0,0,5,5,NA,0,1,2009,WD ,103000
762,A,RL,50,4280,Pave,NA,2,Lvl,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,4,9,1946,2001,Gable,CompShg,MetalSd,MetalSd,None,0,3,2,CBlock,4,3,4,6,0,6,0,560,560,GasA,1,Y,2,704,0,0,704,0,1,1,0,2,1,4,4,1,0,6,CarPort,1946,3,1,220,3,3,1,0,0,24,0,0,0,5,5,NA,0,9,2009,WD ,88750
767,G,RH,54,6629,Pave,NA,1,Lvl,Inside,1,Edwards,Artery,Norm,1Fam,2Story,6,6,1925,1950,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0,3,2,BrkTil,3,3,4,3,551,6,0,121,672,GasA,3,N,1,697,672,0,1369,1,0,2,0,3,1,3,6,1,0,6,Detchd,1930,3,1,300,3,3,1,147,0,0,0,0,0,5,5,NA,0,7,2009,WD ,103600
768,E,RL,60,9780,Pave,NA,1,Lvl,Inside,1,Edwards,Norm,Norm,1Fam,1.5Fin,5,3,1934,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,PConc,3,3,4,6,0,6,0,585,585,GasA,3,N,2,687,425,0,1112,1,0,2,0,4,1,3,6,1,0,6,Detchd,1934,3,1,226,5,5,3,0,0,0,0,0,0,5,5,NA,0,3,2009,WD ,63000
770,A,RL,80,8816,Pave,NA,1,Lvl,Corner,1,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,PConc,3,3,4,4,651,6,0,470,1121,GasA,3,Y,1,1121,0,0,1121,1,0,1,0,3,1,3,5,1,0,6,Detchd,1963,3,2,480,3,3,1,0,80,0,0,0,0,5,2,NA,0,6,2009,WD ,139000
773,A,RL,65,7800,Pave,NA,1,Lvl,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,5,7,1967,2004,Hip,CompShg,HdBoard,HdBoard,BrkFace,89,3,3,PConc,3,3,4,2,450,6,0,414,864,GasA,1,Y,1,899,0,0,899,0,0,1,0,3,1,2,5,1,0,6,Attchd,1967,1,1,288,3,3,1,64,0,0,0,0,0,5,2,NA,0,6,2009,WD ,130000
776,J,RL,74,8740,Pave,NA,2,Lvl,Inside,1,Sawyer,Norm,Norm,1Fam,SFoyer,5,6,1982,1982,Hip,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,3,3,2,2,672,6,0,168,840,GasA,3,Y,1,860,0,0,860,1,0,1,0,2,1,3,4,1,0,6,Detchd,1996,3,2,528,3,3,1,0,0,0,0,0,0,5,5,NA,0,7,2009,WD ,137000
790,A,RL,68,9571,Pave,NA,1,Lvl,Inside,1,Edwards,Norm,Norm,1Fam,1Story,5,5,1956,1956,Hip,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,4,4,257,6,0,816,1073,GasA,3,Y,2,1073,0,0,1073,1,0,1,0,2,1,3,5,1,0,6,Attchd,1956,3,1,340,3,3,1,0,0,0,0,0,0,5,1,NA,0,2,2009,WD ,121500
793,B,RL,50,9340,Pave,NA,1,Lvl,Inside,1,Edwards,Norm,Norm,1Fam,1Story,4,6,1941,1950,Hip,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,4,4,344,6,0,328,672,GasA,3,Y,1,672,0,0,672,1,0,1,0,2,1,3,4,1,0,6,Attchd,1941,3,1,234,3,3,3,0,113,0,0,0,0,5,5,NA,0,8,2009,WD ,113000
794,A,RL,62,7440,Pave,NA,1,Lvl,Inside,1,Edwards,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,2,3,4,3,173,6,0,916,1089,GasW,3,Y,1,1089,0,0,1089,1,0,1,0,3,1,3,5,1,1,2,Detchd,1954,2,1,252,3,3,2,328,0,0,0,0,0,5,2,NA,0,9,2009,WD ,125000
796,L,RL,42,4235,Pave,NA,1,Lvl,Inside,1,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149,2,3,CBlock,2,3,3,1,552,2,393,104,1049,GasA,3,Y,1,1049,0,0,1049,1,0,2,0,2,1,2,5,1,0,6,Attchd,1984,1,1,266,3,3,1,0,105,0,0,0,0,5,5,NA,0,2,2009,WD ,139500
798,E,RL,60,9060,Pave,NA,1,Lvl,Inside,1,Edwards,Norm,Norm,1Fam,1.5Fin,6,5,1939,1950,Gable,CompShg,WdShing,Wd Shng,None,0,3,3,BrkTil,3,3,3,4,204,6,0,356,560,GasA,3,Y,1,698,560,0,1258,0,0,1,0,2,1,3,6,1,0,6,Detchd,1939,3,1,280,3,3,2,0,0,0,0,0,0,5,2,NA,0,10,2009,WD ,105000
823,A,RL,71,9178,Pave,NA,1,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,None,0,2,3,PConc,2,3,2,6,0,6,0,1468,1468,GasA,1,Y,1,1468,0,0,1468,0,0,2,0,3,1,2,6,1,1,2,Attchd,2008,2,3,904,3,3,1,192,142,0,0,0,0,5,5,NA,0,6,2009,WD ,239900
828,A,RL,64,6762,Pave,NA,1,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,2,3,PConc,2,3,2,1,902,6,0,380,1282,GasA,1,Y,1,1290,0,0,1290,1,0,2,0,2,1,2,6,1,1,2,Attchd,2007,2,2,662,3,3,1,168,0,0,0,0,0,5,5,NA,0,5,2009,WD ,200000
830,A,RL,64,7314,Pave,NA,1,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,82,2,3,PConc,2,3,2,1,724,6,0,508,1232,GasA,1,Y,1,1232,0,0,1232,1,0,2,0,2,1,2,6,1,0,6,Attchd,2007,2,2,632,3,3,1,132,0,0,0,0,0,5,5,NA,0,2,2009,WD ,194500
837,A,RL,65,9757,Pave,NA,1,Low,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0,3,2,PConc,3,3,4,2,755,6,0,235,990,GasA,1,Y,1,990,0,0,990,1,0,1,0,3,1,3,5,1,0,6,Attchd,1995,2,1,440,3,3,1,66,0,0,0,92,0,5,5,NA,0,10,2009,WD ,143000
842,A,RL,60,8072,Pave,NA,1,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0,3,2,PConc,2,2,4,2,746,6,0,244,990,GasA,1,Y,1,990,0,0,990,1,0,1,0,3,1,3,5,1,0,6,Detchd,2000,3,2,480,3,3,1,0,64,0,0,0,0,5,5,NA,0,5,2009,WD ,138000
845,A,RL,68,9017,Pave,NA,2,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0,2,3,PConc,2,3,2,1,560,6,0,871,1431,GasA,1,Y,1,1431,0,0,1431,1,0,2,0,3,1,2,6,1,0,6,Attchd,1999,1,2,666,3,3,1,0,35,0,0,0,0,5,5,NA,0,9,2009,WD ,192000
855,A,RL,76,6950,Pave,NA,2,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,5,7,1979,1979,Gable,CompShg,HdBoard,HdBoard,BrkFace,40,3,3,CBlock,3,3,4,2,710,3,72,132,914,GasA,3,Y,1,914,0,0,914,1,0,1,0,2,1,3,5,1,0,6,Attchd,1979,3,2,444,3,3,1,0,0,0,0,0,0,5,5,NA,0,10,2009,WD ,134900
856,A,RL,61,8800,Pave,NA,2,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,5,7,1977,2008,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,2,3,3,5,532,4,144,364,1040,GasA,3,Y,1,1040,0,0,1040,0,0,2,0,3,1,2,5,1,0,6,Detchd,1977,3,2,484,3,3,1,0,0,0,0,288,0,5,5,NA,0,9,2009,WD ,150500
860,A,RL,60,7200,Pave,NA,1,Low,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,5,5,1972,1972,Hip,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,2,4,777,6,0,117,894,GasA,3,Y,1,894,0,0,894,0,0,1,0,2,1,3,6,1,0,6,Detchd,1985,2,2,600,3,3,1,215,0,0,0,0,0,5,5,NA,0,9,2009,WD ,123000
861,J,RL,60,7200,Pave,NA,1,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,SFoyer,5,8,1972,2003,Gable,CompShg,WdShing,HdBoard,None,0,3,2,CBlock,2,3,2,1,660,6,0,108,768,GasA,2,Y,1,768,0,0,768,0,1,1,0,2,1,3,5,1,0,6,Detchd,1974,1,1,396,3,3,1,192,0,0,0,0,0,5,2,NA,0,4,2009,WD ,133900
